ACCESSION_NUMBER	NONDERIV_HOLDING_SK	SECURITY_TITLE	SECURITY_TITLE_FN	TRANS_FORM_TYPE	TRANS_FORM_TYPE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001214659-26-003349	2875838	Common Stock				35344.0				I			
0001214659-26-003348	2876465	Common Stock				86521.0	F4			D			
0001214659-26-003347	2875761	Common Stock				46980.0	F4			D			
0001214659-26-003346	2876078	Common Stock				37745.0	F4			D			
0001214659-26-003345	2876599	Common Stock				26440.0	F4			D			
0001214659-26-003344	2875892	Common Stock				42547.0	F4			D			
0002001135-26-000006	2876531	Common Stock				15933.0				I		See footnote	F1
0001104659-26-028656	2875727	Common Stock				600.0				I	F2	By Son	
0001104659-26-028656	2875726	Common Stock				1200.0				I	F2	By Daughter	
0001968494-26-000002	2875717	Common Stock				1000.0				I		By spouse	
0001825006-26-000004	2876293	Class A Common Stock				24778.0	F2			I		The Mustard Seed Living Trust	
0001470831-26-000275	2875832	Common Stock				234451.0				D			
0001100555-26-000006	2876045	Class A Common Stock				1130938.0				I		by Pascal Family Trust	
0001100555-26-000006	2876048	Class B Common Stock	F2			9747296.0				I	F1	by DreamStreet Holdings, LLC	
0001100555-26-000006	2876047	Class B Common Stock	F2			2913005.0				I	F1	by Pascal Family Trust	
0001100555-26-000006	2876046	Class A Common Stock				226371.0				I	F1	by DreamStreet Holdings, LLC	
0002057894-26-000008	2875815	Class A Common Stock				650034.0				I	F1	Shares held jointly with Reporting Person's spouse.	
0002105449-26-000002	2876429	Common Stock				210039.0	F1			D			
0001356746-26-000006	2876369	Class A Common Stock				400110.0				I		by Scott E Peterson Trust	
0001356746-26-000006	2876370	Class A Common Stock				95948.0				I		By Spouse	F1
0001870484-26-000004	2876542	Class A Common Stock				45416.0				D			
0001466026-26-000025	2876079	Common Stock	F1			1641.0				D			
0000075288-26-000004	2876336	Common Stock				18000.0				I		By Trust for Spouse	
0000075288-26-000004	2876334	Common Stock				21660.0				I		By 2025-3 GRAT	
0000075288-26-000004	2876337	Common Stock				46644.0				I		By Trusts for Children	
0000075288-26-000004	2876335	Common Stock				21662.0				I		By 2025-4 GRAT	
0001735488-26-000002	2876333	Ordinary Shares	F6			4244.0				D			
0001735488-26-000002	2876332	Ordinary Shares	F5			4351.0				D			
0001735488-26-000002	2876331	Ordinary Shares	F4			5008.0				D			
0001735488-26-000002	2876330	Ordinary Shares	F3			4474.0				D			
0001735488-26-000002	2876328	Ordinary Shares	F1			2577.0				D			
0001735488-26-000002	2876329	Ordinary Shares	F2			4295.0				D			
0001399401-26-000004	2876104	Common Stock				7500.0				I		By spouse	
0001493152-26-010340	2876548	Common Stock				20.61				D			
0001628280-26-018292	2876176	Common Stock				218907.0				I		Held by spouse	F3
0001628280-26-018292	2876177	Common Stock				180400.0				I		See footnote	F4
0001964085-26-000002	2876224	Ordinary Shares	F1			2577.0				D			
0001964085-26-000002	2876229	Ordinary Shares	F6			4244.0				D			
0001964085-26-000002	2876225	Ordinary Shares	F2			4295.0				D			
0001964085-26-000002	2876226	Ordinary Shares	F3			4474.0				D			
0001964085-26-000002	2876227	Ordinary Shares	F4			5008.0				D			
0001964085-26-000002	2876228	Ordinary Shares	F5			4351.0				D			
0001437749-26-008473	2876488	Common Stock				6579.0	F1			I		By James Weil and Joni Kahn 2004 Living Trust	
0001437749-26-008471	2875718	Common Stock				394736.0				I		By Michael V. Ketslakh Revocable Trust	F1
0001437749-26-008471	2875719	Common Stock				57620.0				I		By INV LLC	F2
0001104659-26-028631	2876072	Common Stock				700.0				I		By Child 1	
0001104659-26-028631	2876073	Common Stock				34.0				I		By Spouse's IRA	
0001104659-26-028631	2876070	Common Stock				600.0				I		By Child 2	
0001104659-26-028631	2876071	Common Stock				300.0				I		By Child 3	
0001464423-26-000064	2876002	Common Shares of Beneficial Interest				99654.0				I		The Perotti Family Trust	
0001188615-26-000003	2876005	Common shares, $2 par value				2000.0				I		by IRA	
0002120865-26-000003	2876486	Citizens, Inc. Class A Common Stock				5351.66				D			
0001213900-26-028443	2876554	Common Stock				1594338.0				I		by MGK 2011	F2
0001213900-26-028443	2876555	Common Stock				566162.0				I		by ZSK 2008	F2
0001213900-26-028443	2876556	Common Stock				341189.0				I		by ZSK 2009	F2
0001213900-26-028443	2876557	Common Stock				447773.0				I		by Kellie L. Banks LTT	F2
0001213900-26-028443	2876558	Common Stock				4598044.0				I		by Kapital Joe	F2
0001213900-26-028443	2876559	Common Stock				1403.0				I		by Lotus	F2
0001213900-26-028443	2876560	Common Stock				6085471.0				I		by Third Security	F2
0001213900-26-028443	2876561	Common Stock				1096686.0				I		by Parkview 2020	F2
0001213900-26-028443	2876562	Common Stock				14597161.0				I		by Sunset 2020	F2
0001213900-26-028443	2876563	Common Stock				1144481.0				I		by Spouse	
0001213900-26-028443	2876549	Common Stock				477492.0				I		by JPK 2008	F2
0001213900-26-028443	2876550	Common Stock				3609057.0				I		by JPK 2009	F2
0001213900-26-028443	2876551	Common Stock				1615634.0				I		by JPK 2012	F2
0001213900-26-028443	2876552	Common Stock				476529.0				I		by MGK 2008	F2
0001213900-26-028443	2876553	Common Stock				3785116.0				I		by MGK 2009	F2
0001628280-26-018269	2875789	Common Stock				9190.0				I		Cove Hollow Lane II, LLC	F4
0001628280-26-018269	2875788	Common Stock				97260.0				I		Cove Hollow Lane I, LLC	F3
0001193125-26-108644	2875710	Common Stock				60035.0				D			
0001205047-26-000002	2875880	Common Stock				6000.0				I		By self as Co-Trustee	F10, F3
0001205047-26-000002	2875877	Common Stock				200000.0				I		By Self as Manager of LLC	F8
0001205047-26-000002	2875878	Common Stock				125000.0				I		By Self as Co-Trustee	
0001205047-26-000002	2875879	Common Stock				53000.0				I		By self as Co-Trustee and beneficiary	F9
0001193125-26-108626	2876065	Common Stock				12647.0				D			
0001437749-26-008463	2876153	Common stock $1.00 par value				1681.0				I		401(k) plan	
0001975412-26-000002	2875942	Ordinary Shares				37888.0				D			
0001437749-26-008461	2876438	Common stock $1.00 par value				535.0				I		401(k) plan	
0001776247-26-000003	2876294	Ordinary Shares				36500.0				D			
0000897069-26-000695	2876181	Common Stock par value $0.0001 per share				234000.0	F2			I		By Rosenfeld 2021 Family Trust	
0001437749-26-008459	2876525	Common stock $1.00 par value				808.0				I		401(k) plan	
0001193125-26-108605	2876308	Common Stock				6259.0				D			
0001437749-26-008457	2876450	Common Stock				6996.0				D			
0001437749-26-008456	2875866	Common stock $1.00 par value				658.0				I		401(k) plan	
0001773704-26-000012	2876594	Common Stock				20.0				I		By Child	F2
0001765534-26-000002	2875817	Ordinary Shares				19868.0				D			
0001343352-26-000005	2875744	Common Stock				122740.0				I			
0001343352-26-000005	2875742	Common Stock				686.0				I		By SLAT	
0001343352-26-000005	2875741	Common Stock				36277.0	F1			D		By Family Trust	
0001343352-26-000005	2875743	Common Stock				48145.0				I		By Spouse	
0001193125-26-108581	2876566	Common Stock				17141.0				D			
0001437749-26-008449	2876116	Common Stock				32199.0				D			
0001672909-26-000008	2875997	Common Stock				2866.0				I		By 401(k) Plan	
0001437749-26-008445	2876287	Common Stock				23050.0				D			
0001493152-26-010307	2876355	Ordinary Shares				4362069.0	F2, F1			D	F1		
0001437749-26-008440	2875957	Common Stock				20058.0				D			
0002113424-26-000002	2876582	Common Stock				2100.0				I		By Family Trust	
0001437749-26-008437	2875934	Common Stock				70977.0				D			
0001702455-26-000004	2876282	Class A Common Stock				1999.0				I		Platt Family Foundation	F4
0001702455-26-000004	2876281	Class A Common Stock				11258.0				I		By Trust	F3
0001143335-26-000018	2876187	Common Stock				333643.0				I		By Fields Management, Inc.	
0001143335-26-000018	2876188	Series B Preferred Stock				169797.0				I		By Riverview Financial Corp	
0001143335-26-000018	2876189	Series B Preferred Stock				3704.0				I		By Spouse	
0001143335-26-000018	2876186	Common Stock				30667.0				I		By Spouse	
0001143335-26-000018	2876184	Common Stock				3483955.0				D			
0001143335-26-000018	2876185	Common Stock				615260.0				I		By Riverview Financial Corp.	
0001193125-26-108555	2876143	Class A ordinary share	F1			259000.0				I		By Qing Apple Ventures Limited	
0001193125-26-108554	2875820	Class A ordinary share	F1			1540613.0				I		By JZI Siblings Inc.	
0001193125-26-108553	2875915	Class A ordinary share				1517068.0				I		By Jbridge Ventures Limited	
0001193125-26-108552	2876117	Class A ordinary shares				8186889.0				I		By Cannes Ventures Limited	
0002119429-26-000002	2875796	Common Stock				4277.65				D			
0001841794-26-000040	2876494	Class A Common Stock				408131.0				D	F7		
0001226014-26-000004	2876157	Common Stock				32100.0				I		By James G Kelly Grantor Trust	
0001226014-26-000004	2876156	Common Stock				105630.0				I		By The Maura M. Kelly Family Gift Trust	
0002120465-26-000002	2876579	Common Stock				7934.81				D			
0000040417-26-000034	2876013	GAM				10000.0				D	F1	By Thrift Plan Trust	
0000040417-26-000034	2876014	GAM				101303.0				I	F4	By Spouse	
0000040417-26-000034	2876015	5.95% Preferred Stock				12000.0				D	F3		
0000040417-26-000034	2876016	5.95% Preferred Stock				4000.0				I	F2		
0001385266-26-000003	2875772	Common Stock				435.0				I		By The Prairie and Tireman Group, LLC	F2
0001055352-26-000006	2875928	Class B Common Stock				57100.0				I			
0001055352-26-000006	2875927	Class A Common Stock				694.0				I		By Spouse	F6
0001055352-26-000006	2875926	Class B Common Stock				166000.0				D		By Spouse	F6
0001055352-26-000006	2875924	Class B Common Stock				137000.0				I		by SLAT 2	F4
0001055352-26-000006	2875925	Class B Common Stock				134000.0				I		By SLAT	F5
0001566861-26-000004	2875897	Common Stock				3496.0				I		By 401(k) plan	
0001104659-26-028554	2875841	Common Stock				2000.0				I		By the Hannah Hochman 2019 Trust	
0001104659-26-028554	2875840	Common Stock				2000.0				I		By the Solomon Ascher Hochman 2019 Trust	
0001104659-26-028554	2875843	Common Stock				3140.0				I		By the NSH 2008 Family Trust	
0001104659-26-028554	2875839	Common Stock				439482.0				I		By the DPH 2008 Trust	
0001104659-26-028554	2875842	Common Stock				2000.0				I		By the Judah Herman Hochman 2019 Trust	
0001104659-26-028553	2875807	American depositary shares	F1			225125.0				I		Held by LEFT BK Holdings Ltd., a BVI company wholly owned by the reporting person	
0001104659-26-028553	2875809	Class A ordinary shares				15590710.0				I		Held by Mount Bonnell Ltd., a BVI company wholly owned by the reporting person's spouse	
0001104659-26-028553	2875808	Class A ordinary shares				17663915.0				I		Held by LEFT BK Holdings Ltd., a BVI company wholly owned by the reporting person	
0001178913-26-000933	2876215	Ordinary Shares				5002.0				D			
0001665227-26-000004	2876539	Common Stock				1735.0				I		By IRA	
0000002488-26-000058	2876261	Common Stock				169872.0	F11			I		By Grantor Retained Annuity Trust 2025 GRAT B	
0000002488-26-000058	2876260	Common Stock				151598.0	F10			I		By Grantor Retained Annuity Trust 2025 GRAT A	
0000002488-26-000058	2876259	Common Stock				151776.0				I		By Grantor Retained Annuity Trust LTS 2022 GRAT B	
0000002488-26-000058	2876257	Common Stock				26034.0				I		By Grantor Retained Annuity Trust 2021B	
0000002488-26-000058	2876256	Common Stock				165.0				I		Through shareholdings of family member	
0000002488-26-000058	2876255	Common Stock				165.0				I		Through the shareholdings of a family member	
0000002488-26-000058	2876254	Common Stock				99211.0				I		By Lisa Su and Daniel Lin Family Trust dated 11/3/2021	
0000002488-26-000058	2876258	Common Stock				147617.0				I		By Grantor Retained Annuity Trust 2021C	
0001602459-26-000002	2875862	Ordinary Shares				215739.0				D			
0001384243-26-000006	2876111	Ordinary Shares				95147.0				D		By Joint Account with Spouse	
0001384243-26-000006	2876112	Ordinary Shares				128887.0				I			
0001828266-26-000004	2876426	Ordinary Shares				45189.0				D			
0001193125-26-108496	2876207	Class A Common Stock				47619.0				I		See Explanation of Responses	F2
0001104659-26-028539	2876516	American depositary shares	F1			195317.0	F1			I		Held by CFLIU Holdings Ltd., a BVI company wholly owned by the reporting person	
0001104659-26-028539	2876518	Class A ordinary shares				11377901.0				I			
0001104659-26-028539	2876517	American depositary shares				19065.0				D		Held by CFLIU Holdings Ltd., a BVI company wholly owned by the reporting person	
0002115875-26-000002	2875737	Ordinary Shares				80000.0				D			
0001104659-26-028537	2876249	American depositary shares	F1			267187.0				I		Held by JYLu Holdings Ltd., a BVI company wholly owned by the reporting person	
0001104659-26-028537	2876250	American depositary shares	F1			519299.0				D		Held by JYLu Holdings Ltd., a BVI company wholly owned by the reporting person	
0001104659-26-028537	2876251	Class A ordinary shares				28738439.0				I			
0001267490-26-000002	2875708	Ordinary Shares				10000.0				D			
0001021771-26-000028	2876173	Common Stock				22142.0	F1			D			
0001104659-26-028529	2876316	American depositary shares	F1			29000.0				D			
0001193125-26-108468	2876447	Common Stock				375420.0				I		See footnote	F3, F2, F4
0001933479-26-000002	2876205	COMMON STOCK				3925.0				I		BY TRUST 3	F2
0001933479-26-000002	2876204	COMMON STOCK				11636.0				I		BY TRUST 2	F2
0001933479-26-000002	2876203	COMMON STOCK				17150.0				I		BY TRUST 1	F2
0001104659-26-028526	2876212	American depositary shares	F1			30250.0				D			
0002021239-26-000004	2876497	Common Stock				173768.0				I	F2	By KPM Cold Storage	
0002021239-26-000004	2876498	Common Stock				155275349.46				I	F3	By BGLH	
0001008413-26-000006	2876357	Common Stock, par value $0.01 per share				379991.0				I		By Spouse	F2
0001008413-26-000006	2876358	Common Stock, par value $0.01 per share				9833.0				I		By 401(k) Plan	F3
0001481450-26-000001	2876390	Common Stock				845284.0				I		Held with Spouse in JTWROS	
0001481450-26-000001	2876389	Common Stock				100000.0				I		By Raynham I LLC	F2
0001628280-26-018221	2875790	Common Stock				4246.0	F1			D			
0001764478-26-000004	2875865	Common Stock				10000.0				I		By Family Trust	
0001225208-26-003696	2876198	Common Stock				2660.0				I		By 2012 Fyrwald Irrevocable Family Trust	
0001225208-26-003696	2876199	Common Stock				8630.0				I		By J. Erik Fyrwald Irrevocable Trust u/a/d 12/21/2012	
0001225208-26-003695	2876101	Common Stock				7.0				I		By JDW 2011 Trust f/b/o Adam Wolfensohn	F1
0001225208-26-003695	2876103	Common Stock				36.0				I		By Wolfensohn Foundation Segregated Account	F3
0001225208-26-003695	2876102	Common Stock				379.0				I		By Wolfensohn Foundation Primary	F2
0001922405-26-000004	2875767	Common Stock				100.0				I		By Pale Fire Capital SE	F2
0001922405-26-000004	2875766	Common Stock				10180970.0				I		By Pale Fire Capital SICAV a.s.	F1
0001193125-26-108452	2875969	Class B Common Stock				27544.0				I		The Fran L. Donahue Grantor Trust	
0001193125-26-108452	2875966	Class B Common Stock				421690.0				I		Held indirectly by MaxFund Partners, L.P.	
0001193125-26-108452	2875965	Class B Common Stock				19199.0				I		Held indirectly by The Thomas R. and Frances L. Donahue Grantor Dynasty Trust	
0001193125-26-108452	2875968	Class B Common Stock				8095.0				I		Held indirectly by spouse	
0001193125-26-108452	2875967	Class B Common Stock				72.0				I		Held indirectly by 401(k) Plan	
0001193125-26-108452	2875970	Class B Common Stock				37544.0				I		The Thomas R. Donahue Grantor Trust	
0001193125-26-108452	2875971	Class B Common Stock				2000.0				I		Maxfund, Inc.	
0001551277-26-000004	2875740	Common Stock				36575.0				I		By Family Trust	
0001072918-26-000004	2875825	Common Stock				189653.0				I		By Family Trust for Son 1	
0001072918-26-000004	2875826	Common Stock				189653.0				I		By Family Trust for Son 2	
0001072918-26-000004	2875827	Common Stock				189653.0				I		By Family Trust for Son 3	
0001072918-26-000004	2875824	Common Stock				407745.0				I		By Family Trust for Spouse	
0001819810-26-000035	2876418	Common Stock, par value $0.0001 per share				224585.0				D	F1		
0001106578-26-000011	2876223	Common Stock				10962.0				I		by Trust	F13
0001106578-26-000011	2876220	Common Stock				324518.0				I		by Trust	F10
0001106578-26-000011	2876219	Common Stock				166.0				I		by Spouse	
0001106578-26-000011	2876221	Common Stock				258117.0				I		by Trust	F11
0001106578-26-000011	2876222	Common Stock				45596.0				I		by Trust	F12
0001410442-26-000002	2876573	Common Stock				152339.0				I		by Trust	
0001193125-26-108433	2876270	Common Stock				940443.0				I	F3, F2, F4	By ICONIQ Strategic Partners IV Co-Invest, L.P., Series P	
0001193125-26-108433	2876269	Common Stock				3108450.0				I	F3, F2, F4	By ICONIQ Strategic Partners IV-B, L.P.	
0001193125-26-108433	2876268	Common Stock				1876073.0				I	F3, F2, F4	By ICONIQ Strategic Partners IV, L.P.	
0001193125-26-108433	2876272	Common Stock				177265.0				I	F3, F2, F4	By ICONIQ Strategic Partners V-B, L.P.	
0001193125-26-108433	2876266	Common Stock				2814976.0				I	F3, F2, F4	By ICONIQ Strategic Partners III-B, L.P.	
0001193125-26-108433	2876265	Common Stock				2634478.0				I	F3, F2, F4	By ICONIQ Strategic Partners III, L.P.	
0001193125-26-108433	2876275	Common Stock				3348293.0	F5			I	F5	By Divesh Makan	
0001193125-26-108433	2876274	Common Stock				1069534.0				I	F3, F2, F4	By ICONIQ Strategic Partners VI-B, L.P.	
0001193125-26-108433	2876273	Common Stock				857031.0				I	F3, F2, F4	By ICONIQ Strategic Partners VI, L.P.	
0001193125-26-108433	2876271	Common Stock				115070.0				I	F3, F2, F4	By ICONIQ Strategic Partners V, L.P.	
0001193125-26-108433	2876267	Common Stock				1027611.0				I	F3, F2, F4	By ICONIQ Strategic Partners III Co-Invest, L.P., Series P	
0001193125-26-108432	2875905	Common Stock				1675.0				I		By Child	
0001193125-26-108432	2875906	Common Stock				1860.0				I			
0001193125-26-108432	2875904	Common Stock				1690.0				I		By Child	
0001193125-26-108432	2875903	Common Stock				1905.0				I		By Child	
0001193125-26-108432	2875902	Common Stock				214491.0				D		By Spouse	
0001193125-26-108430	2876171	Common Stock				1622.0				I		By ESOP	
0001193125-26-108426	2875929	Common Stock				2746.0				I		By IRA	
0001193125-26-108426	2875930	Common Stock				4534.0				I		By ESOP	
0001193125-26-108423	2876588	Common Stock				807.0				I		By Brian and Kristen Peay 2007 Trust DTD 06/26/2007	F3
0001193125-26-108417	2876431	Common Stock				201403.0				I		By Danny and Zohar Prosky Family Rev Trust UA DTD 08/16/2011	F3
0001845574-26-000014	2876058	Common Stock				165.2	F4			I		By 401(k) Plan	
0000933430-26-000002	2875705	Common Stock				205915.0				D		By SUNRAY I, LLC	
0000933430-26-000002	2875706	Common Stock				4452283.0				I	F5		
0001201232-26-000013	2875731	Motorola Solutions, Inc. - Common Stock				81000.0	F5			I		By Trust	
0001201232-26-000013	2875730	Motorola Solutions, Inc. - Common Stock				2220.0				I		Held by wife	
0001201232-26-000013	2875729	Motorola Solutions, Inc. - Common Stock				6.13	F4			I		Motorola Solutions, Inc. 401(k) Plan	
0001201232-26-000013	2875736	Motorola Solutions, Inc. - Common Stock				120500.0				I		2025-1 Grantor Retained Annuity Trust	
0001201232-26-000013	2875732	Motorola Solutions, Inc. - Common Stock				21580.0	F6			I		By Trust	
0001201232-26-000013	2875735	Motorola Solutions, Inc. - Common Stock				62004.0				I		2024-1 Grantor Retained Annuity Trust	
0001201232-26-000013	2875733	Motorola Solutions, Inc. - Common Stock				14343.0	F7			I		By Trust	
0001201232-26-000013	2875734	Motorola Solutions, Inc. - Common Stock				13246.0	F8			I		By Trust	
0002120247-26-000001	2876412	Ordinary Shares				7455000.0				I		By Fung & Tun Limited	F1
0001914004-26-000006	2876345	Motorola Solutions, Inc. - Common Stock				6.0	F1			I		Motorola Solutions, Inc. 401(k) Plan	
0001622458-26-000006	2875881	Common Stock, $0.01 par value				697.0				I		RUSSELL WEINER TRUST AGREEMENT U/A DTD 09/03/2003	
0001622458-26-000006	2875882	Common Stock, $0.01 par value				2636.0				I		RUSSELL J WEINER 2023 GRANTOR TRUST	
0001478669-26-000007	2875853	Common Stock				81301.0				I		By Spouse's Trust	F1
0002042181-26-000006	2876147	Common Stock, $0.01 par value				85.27				I		401(k) Savings Plan	
0001656592-26-000006	2876167	Motorola Solutions, Inc. - Common Stock				17.54	F4			I		Motorola Solutions, Inc. 401(k) Plan	
0001628280-26-018197	2876295	Class A Common Stock				1800.0				I		See footnote	F1
0001628280-26-018197	2876296	Class A Common Stock				1800.0				I		See footnote	F2
0001771515-26-000030	2875863	Common Stock				44468.0				I		By Trust	F3
0001104659-26-028498	2876441	American Depositary Shares	F1			105594.0	F2			D			
0002047518-26-000008	2876602	Motorola Solutions, Inc. - Common Stock				8.63	F3			I		Motorola Solutions, Inc. 401(k) Plan	
0002060727-26-000006	2876074	Common Stock, $0.01 par value				611.61				I		401(k) Savings Plan	
0001750714-26-000006	2876523	Motorola Solutions, Inc. - Common Stock				11.54	F3			I		Motorola Solutions, Inc. 401(k) Plan	
0001804695-26-000006	2876120	Common Stock, $0.01 par value				244.45				I		401(k) Savings Plan	
0001821840-26-000006	2876286	Common Stock, $0.01 par value				22.37				I		Owned by spouse	
0001628280-26-018191	2876175	Class A Common Stock				3856.0				D			
0001104659-26-028494	2876150	American Depositary Shares	F1			87239.0	F2			D			
0001718588-26-000012	2876010	Common Stock				156.31	F4			I		By 401(k) Plan	
0001864612-26-000006	2876068	Motorola Solutions, Inc. - Common Stock				15.63	F4			I		Motorola Solutions, Inc. 401(k) Plan	
0001104659-26-028491	2876193	American Depositary Shares	F1			28290.0	F2			D			
0001193125-26-108380	2876371	Class A Common Stock				330171.0				I		Ulysses Trust 02021.1, Dated February 26, 2021	
0001816511-26-000008	2876172	Motorola Solutions, Inc. - Common Stock				13.28	F4			I		Motorola Solutions, Inc. 401(k) Plan	
0001750793-26-000008	2876545	Motorola Solutions, Inc. - Common Stock				9.73	F4			I		Motorola Solutions, Inc. 401(k) Plan	
0001104659-26-028488	2876346	American Depositary Shares	F1			36254.0	F2			D			
0001104659-26-028487	2876382	American Depositary Shares	F1			97959.0	F2			D			
0001437749-26-008423	2876577	Common stock				5517674.0				I		Smith Living Trust	
0001579933-26-000004	2875908	Common Stock				575.0				D			
0001858396-26-000003	2876306	Common Stock, $0.01 par value per share				8695.0				I		By spouse	
0001104659-26-028484	2876361	American Depositary Shares	F1			58883.0	F2			D			
0001104659-26-028484	2876362	Class A ordinary shares				376024.0				D			
0001465175-26-000010	2876092	Common Stock				550.0				D			
0001193125-26-108376	2876248	Common Stock				126354.0				D			
0001222207-26-000004	2876515	Common Stock				2545.0				D			
0001200231-26-000005	2876206	Common Stock				450.0				D			
0001350579-26-000005	2876307	Common Stock				2662.0				D			
0001104659-26-028480	2876576	American Depositary Shares	F1			16667.0	F2			D			
0001348489-26-000005	2876262	Common Stock				3639.0				D			
0001216515-26-000004	2875763	Common Stock				7967.37				D			
0001104659-26-028477	2876033	American Depositary Shares	F1			72230.0	F2			D			
0001104659-26-028473	2876368	American Depositary Shares	F1			24205.0	F2			D			
0001104659-26-028472	2875803	Class A Common Stock				16840.0				D	F5		
0001104659-26-028471	2876252	Class B Common Stock				125000.0				I		By Spouse	
0001104659-26-028471	2876253	Class B Common Stock				92654.0				I		By 401(K) Plan	
0001193125-26-108358	2876375	Common Stock, par value $0.003 per share				0.0				D			
0001405590-26-000002	2876093	Common Stock				269.53				I		by Daughter	F3
0001405590-26-000002	2876094	Common Stock				271.91				I		by Son	F4
0001630864-26-000006	2876042	Common Stock				77752.0				D			
0001193125-26-108351	2876415	Common Stock				7000.0				D			
0001176401-26-000001	2876132	COMMON STOCK				183000.0				I		By Trust	F6
0001176401-26-000001	2876131	COMMON STOCK				110000.0				I		By Trust	F5
0001176401-26-000001	2876130	COMMON STOCK				3281976.0				I		By LLC	F4
0001176401-26-000001	2876129	COMMON STOCK				253000.0				I		By Trust	F3
0001176401-26-000001	2876128	COMMON STOCK				38300.0				I		By Trust	F2
0001104659-26-028453	2876075	America Deposited Shares	F1			235450.0				D			
0001104659-26-028453	2876076	America Deposited Shares	F1			50000.0				D			
0001104659-26-028452	2876030	America Deposited Shares	F1			237672.0				D			
0001186630-26-000002	2876310	Common Stock				906837.0				I		By Trust	F3
0001186630-26-000002	2876311	Common Stock				7042055.0				I		By Trust	F4
0001186630-26-000002	2876312	Common Stock				275000.0				I		By Trust	F5
0001186630-26-000002	2876313	Common Stock				1000000.0				I		By Trust	F6
0001186630-26-000002	2876309	Common Stock				15133.0				I		By Spouse	F2
0001186630-26-000002	2876314	Common Stock				2000000.0				I		By Trust	F7
0002120008-26-000002	2876526	Common Stock				267.0				D			
0000945621-26-000452	2876583	Class A Common Stock, par value $0.0001 per share				5575.0				D		See Footnote (2)	F2
0000945621-26-000452	2876584	Class A Common Stock, par value $0.0001 per share				12350.0				I		See Footnote (3)	F3
0000945621-26-000452	2876587	Class A Common Stock, par value $0.0001 per share				30.0				I			
0000945621-26-000452	2876585	Class A Common Stock, par value $0.0001 per share				350.0				I		See Footnote (4)	F4
0000945621-26-000452	2876586	Class A Common Stock, par value $0.0001 per share				45.0				I		See Footnote (5)	F5
0002006041-26-000004	2875936	Common Stock				100.0				I		By Spouse	
0002006041-26-000004	2875937	Common Stock				1781.0				I		By Retirement Savings Plan Trust	
0001903665-26-000007	2876230	Common Stock, par value $.004				4526.0				I		401(k) Plan	
0001999560-26-000004	2875835	Common Stock, par value $.004				2638.0				I		401(k) Plan	
0001999560-26-000004	2875834	Common Stock, par value $.004				200904.0				I		Trustee of Trusts	
0001999560-26-000004	2875833	Common Stock, par value $.004				122371.0				I		By spouse, as trustee of trust for benefit of family members	
0001437749-26-008400	2876164	Common Stock				12753.47	F1			I		Trustee, Spousal trust	
0001565768-26-000005	2876373	Common Stock, par value $.004				4225.0				I		401(k) Plan	
0001033204-26-000004	2876109	Common Stock				1775735.0	F5			I			
0001033204-26-000004	2876108	Restricted Stock				4924.0	F4			D		Dallas Financial Holdings, LLC	
0001193125-26-108315	2876569	Common Stock				19480.0				I			
0001193125-26-108315	2876567	Common Stock				201985.0				D		By Spouse	
0001193125-26-108315	2876568	Common Stock				8880.0				I		By Trust, No Beneficial Ownership	F1
0002051604-26-000002	2875786	Common Stock, par value $.004				665.0				I		401(k) Plan	
0001867305-26-000006	2875864	Common Stock				92773.0				I		By Gregory Russotti 2021 Family Trust	
0001929992-26-000005	2876327	Common Stock, par value $.004				2208.0				I		401(k) Plan	
0002039852-26-000047	2876174	Common Stock				2518.0				I		By 401(k) plan account	
0001437749-26-008395	2876547	Class A Common Stock, par value $0.01 per share				538.0	F3			I		See footnote	F3
0001642826-26-000005	2876208	Common Stock, par value $.004				9250.0				I		Custodian for the benefit of his grandchildren	
0001642826-26-000005	2876209	Common Stock, par value $.004				6120.0				I		401(k) Plan	
0001193125-26-108304	2876521	Common Stock				2013.74	F1			I		By ConocoPhillips Savings Plan	
0001213900-26-028285	2876398	Ordinary Shares				6170606.0				D			
0001213900-26-028282	2876233	Class A Ordinary Shares				900.0				D			
0001193125-26-108294	2876514	Common Stock				1361.97	F1			I		By ConocoPhillips Savings Plan	
0001072627-26-000018	2876022	Common Stock				34100.0				I		Trust-MPF	
0001072627-26-000018	2876020	Common Stock				34100.0				I		Trust-GEF	
0001072627-26-000018	2876021	Common Stock				34100.0				I		Trust-LTF	
0001193125-26-108288	2876202	Common Stock				1000.0				I			
0001193125-26-108288	2876200	Common Stock				8866.0				D		By IRA	
0001193125-26-108288	2876201	Common Stock				3000.0				I		By Trust (These shares are held in the Carolyn B Fraser Trust)	
0000067887-26-000015	2876323	Class A Common				650.0				D			
0001964142-26-000002	2876462	Ordinary Shares	F5			84873.0				D			
0001964142-26-000002	2876458	Ordinary Shares	F1			51546.0				D			
0001964142-26-000002	2876459	Ordinary Shares	F2			89499.0				D			
0001964142-26-000002	2876460	Ordinary Shares	F3			100159.0				D			
